real,predito
34.8751,36.4952
32.0173,36.5357
40,36.7026
50.0447,50.988
40,35.2843
70.3524,68.4066
33.2316,34.2381
13.2499,14.0894
55.3306,52.5626
29.7176,34.0287
40,38.922
45.2199,48.5211
40,36.6836
36.4805,36.9711
45.4919,48.7757
62.9794,65.5473
29.9224,32.7236
39.1047,39.2881
25.6607,27.1128
34.5035,37.4666
16.8311,17.4374
47.5541,49.7984
70.5458,68.9152
73.2012,65.9377
33.6565,39.7398
65.4182,52.4774
38.7449,40.5918
43.4445,43.8896
58.9931,56.552
40,39.7854
30.7812,34.413
35.9638,35.8756
41.8165,43.8323
50.4381,49.1341
40,36.9878
13.2227,19.0724
17.9644,19.9051
22.4131,28.0182
44.2275,43.1932
13.2227,14.0449
33.6458,36.9943
26.6885,28.6601
26.897,30.0594
48.5617,49.9846
25.1705,29.1235
44.8958,39.6399
52.2693,50.4106
47.5538,43.5517
69.3759,65.02
60.0055,63.926
49.9168,50.7274
14.7034,14.7425
37.3849,38.9923
27.11,28.5883
27.1226,29.3233
40,39.5917
49.2317,57.6214
43.5334,46.4975
64.6105,52.4505
13.2487,13.8952
40.216,46.9344
72.034,66.3696
16.1224,15.8054
40,38.3512
49.9604,51.308
35.8042,37.2263
37.2175,41.2331
13.2876,13.9851
34.4451,40.6053
36.8193,37.6589
20.4756,21.8697
49.4358,51.5154
25.0249,26.8854
36.1788,34.8599
35.2729,36.9271
13.2227,14.2313
68.3083,52.841
64.4087,62.2703
13.2227,14.1626
13.3073,13.9563
42.4866,41.2753
27.1226,29.4133
45.203,43.0455
59.9418,60.0022
58.6996,61.7235
61.1627,61.4038
13.2227,14.2096
24.8996,30.1111
72.7269,66.0853
53.3835,55.6419
52.0836,44.1346
67.9972,61.117
26.8265,28.1445
47.0433,51.1655
24.9523,27.7182
61.6139,59.1629
84.6966,69.5808
35.4002,35.0931
40,36.5921
13.2227,17.6359
20.7356,28.6461
52.6086,50.5255
37.836,42.1225
33.4402,35.8792
13.5944,18.9859
35.8268,41.3836
27.1226,31.619
65.3762,61.37
24.9389,27.654
33.8244,35.3876
13.2983,17.5294
40,36.8822
13.245,22.4587
27.2676,31.1965
23.7287,27.1927
13.2227,13.8559
24.4996,26.8997
13.2227,14.1631
39.2649,41.8714
68.2943,66.0138
36.5464,40.0685
17.3738,21.2073
26.0701,28.3297
40,35.4342
35.7112,41.4168
34.6521,35.6678
25.128,33.4038
24.1884,26.5147
40.9645,46.315
25.1705,29.6941
38.4603,41.2795
65.7028,54.2276
38.4246,40.151
68.1943,63.9559
17.1411,20.5009
47.2981,43.2683
40,35.9451
46.1801,44.1335
40,36.4324
40,37.5583
58.1725,60.4359
40,36.6365
45.379,49.9119
66.3271,62.7833
41.5304,37.8816
26.8171,28.4769
41.1224,39.6192
68.3016,65.7471
13.5194,28.4963
32.6818,33.2009
47.4877,44.0869
36.0833,36.1815
13.3961,20.7421
53.7391,52.5815
56.0363,51.8251
13.8465,20.3908
62.9311,52.9737
44.6059,43.8493
61.7358,59.74
44.6205,44.0363
46.7243,43.5096
54.7175,60.7805
47.0687,50.4401
29.5566,34.7788
49.891,51.6455
45.1376,51.8484
27.1226,31.6258
34.9685,34.8325
39.7624,39.9796
36.5754,35.2214
37.2175,40.9105
63.3101,60.7813
45.3053,46.9716
43.1904,44.116
38.9143,39.3665
13.2258,22.4734
32.2213,33.4521
59.4682,58.8919
45.9436,46.8045
27.0084,29.0743
63.3123,61.0953
78.3722,64.3027
56.546,52.6867
24.8336,27.1456
24.4507,27.8448
45.7811,51.9382
45.9869,52.0024
37.0606,39.1212
59.0616,66.6573
19.446,23.3914
37.8357,42.3757
47.7417,46.7264
42.6532,42.0448
53.4444,51.3121
57.362,53.0339
56.6919,53.6166
50.0296,43.3478
28.5229,26.3011
59.0726,60.665
61.3291,62.1164
19.7482,22.3863
38.7658,38.2547
40.5477,43.8617
53.8829,56.8709
46.1186,45.4613
36.2276,35.5922
42.4146,42.987
39.1034,43.8614
13.2268,13.9886
40,36.7457
13.2227,13.9607
15.549,14.3973
34.6731,31.586
56.1959,50.6364
13.5368,32.9449
53.77,52.4208
58.8266,51.0083
27.9367,35.5225
24.3116,25.3164
25.413,28.0089
13.8955,17.0684
53.7752,51.1894
57.1771,52.669
47.9265,44.3386
36.7634,42.5681
55.6945,59.1661
59.6728,60.9907
37.7981,42.261
37.4773,34.9261
40,35.2629
68.3333,52.8039
60.8255,52.3741
81.6051,68.0481
50.0949,43.2188
30.9511,34.0256
22.8898,26.0056
13.2227,14.4963
37.0829,35.6172
27.1226,28.7998
47.889,43.7188
13.689,16.8741
16.9279,22.1722
63.853,62.3541
47.7816,46.0555
13.2965,13.7696
27.1188,28.6744
65.385,52.8794
40,38.7723
59.9106,52.0635
37.0933,41.4235
13.9061,14.6609
38.9036,39.0116
55.2823,51.7082
74.1907,66.8842
49.8667,55.728
24.6867,25.7396
48.4251,44.646
65.3207,52.7091
68.7453,68.4394
39.6124,42.2095
13.2227,13.8823
30.49,30.6864
13.6585,20.408
51.8334,54.3874
40.1342,43.0173
67.5372,63.8361
72.7465,62.2412
59.9664,52.8537
43.2149,42.3464
37.9686,42.4726
71.4466,64.8858
46.3126,50.8397
37.1709,36.9627
36.3526,35.702
43.044,43.4985
40,43.0758
51.0836,51.3494
67.0207,64.5668
33.5476,31.3226
32.2214,34.0581
38.0631,46.501
67.3471,63.9663
33.6714,35.34
13.2591,18.7537
44.4649,43.7676
49.8777,49.4562
37.9019,35.643
13.8276,15.0376
27.0161,31.3174
13.9591,23.3763
40,37.2343
40,42.7073
33.6521,33.0256
37.8891,35.7747
44.8142,43.717
67.1161,52.7427
48.4209,45.6697
23.4179,22.1863
58.0718,52.445
35.9659,36.0147
51.1177,49.2212
58.9756,55.1963
32.0393,37.9862
35.0571,39.8487
56.6805,52.4169
37.3403,42.3624
40,44.3485
27.3259,32.1304
40,37.0536
24.6604,27.2892
32.6577,34.1516
13.2227,14.0835
18.2454,23.5449
54.5528,58.3903
29.1678,31.7078
43.9396,49.4828
50.3942,51.1916
42.4138,43.6661
26.446,31.2298
38.9348,35.8269
24.4945,25.3364
30.3228,33.1783
27.1053,28.3523
13.2227,18.0912
36.2151,36.9794
45.6319,37.9284
40,39.1666
42.0829,42.4431
67.9891,62.9139
48.4077,43.8944
48.3869,48.5532
38.0471,35.715
49.733,52.8897
24.0315,27.2243
63.6064,52.6123
13.4169,22.0518
48.5842,47.9638
55.7232,54.2645
25.1705,29.0314
26.6969,30.5346
27.0158,28.6511
30.1656,31.474
34.4174,40.5287
37.21,44.0812
53.109,52.2972
13.3131,14.2136
50.717,52.6088
50.6608,48.1181
13.2227,13.9411
26.6218,31.0086
32.9481,35.2488
27.0273,28.2083
40,36.5165
40,39.0984
25.1705,28.7653
15.3127,14.9998
68.3112,52.5106
63.8289,62.817
36.2203,37.6151
27.1226,29.3518
55.3237,57.2001
38.4859,38.9998
44.185,39.6291
50.6041,51.2451
13.2638,18.1258
59.652,58.7777
43.2945,42.5186
39.3999,37.8619
25.1477,28.9412
27.1037,30.712
32.0862,37.1716
71.8153,65.9197
44.8147,44.7513
51.4556,59.4188
61.314,53.2028
42.6125,38.0401
24.7451,27.7345
57.4508,59.1023
40,38.9664
43.5296,48.6172
32.5836,38.5181
13.3691,14.2703
55.402,54.9572
52.9044,44.4963
44.2738,47.2671
13.8483,14.611
13.2227,14.3008
72.928,62.9184
30.3692,33.26
33.1781,37.0019
59.2795,52.578
48.3006,43.5527
36.0196,36.622
73.3851,64.3809
45.0723,43.862
34.6701,39.119
27.1226,28.9496
27.7792,31.7111
25.7792,30.8087
45.998,50.0691
49.4401,51.1693
67.2481,67.3898
25.1705,29.3174
64.7736,52.5401
34.8451,37.3583
49.4531,51.097
49.9163,51.5742
56.2522,52.3194
41.597,43.2202
31.3263,35.3685
70.069,63.1076
78.8092,65.7205
39.6958,46.4642
36.7879,44.2735
40.2429,43.2677
13.2847,18.0994
48.3307,45.1012
45.8425,44.212
49.353,54.5002
40,36.1511
84.9398,69.1216
26.9414,31.3219
27.5116,35.2744
49.7201,52.7972
27.1226,37.0587
37.1035,38.5293
67.7516,52.6374
67.9903,61.5728
24.2976,27.3076
37.672,35.6085
48.3079,42.0031
57.8651,61.2548
31.4154,35.098
25.1705,28.2641
75.6725,67.9619
13.9269,14.2763
61.0506,62.404
27.1226,31.8407
34.4722,35.9544
36.5254,36.9982
72.7401,66.561
26.6385,31.3197
61.8918,52.5255
48.3887,44.2451
46.1052,45.6322
27.0804,33.7743
29.7304,33.931
51.3855,50.0243
47.5498,51.4803
39.6565,36.0693
82.9769,66.7754
50.8658,44.2921
71.1224,63.3758
58.0508,52.3638
40,39.0747
35.1906,35.9357
50.0812,53.2291
36.0856,36.8856
43.6751,47.2696
41.5815,38.2067
38.9861,38.1938
13.2775,17.7946
37.6055,36.5435
24.4827,27.2092
56.4346,50.8154
30.8134,34.7042
37.5533,36.3627
37.8245,36.1196
13.3419,13.91
84.1663,69.5014
26.1711,27.668
49.0653,56.0301
58.0434,62.5795
60.3452,52.5837
40,36.8399
45.7277,49.7936
30.1511,32.3046
48.4308,43.6462
54.4905,57.3096
52.0775,56.7632
55.2732,51.8585
39.224,41.1167
22.8769,23.2585
46.1382,38.5998
24.9784,26.0478
33.3004,39.9361
40,35.6372
39.7515,41.9846
26.532,30.3063
17.8206,21.5206
40,37.0007
57.6108,54.0755
24.0947,26.0756
38.6764,40.8179
57.9893,58.1298
40,46.9299
50.1619,43.8395
26.9974,39.0434
40,35.4471
31.1925,30.7545
27.1226,29.4695
24.2298,24.9481
29.9264,38.0472
14.0113,18.4943
40,36.6646
40,45.5042
67.4614,61.4207
29.4669,30.8931
61.9011,52.4442
35.8869,38.9124
51.3681,51.6913
29.2494,33.5454
41.8269,43.5143
38.3572,40.3621
35.5638,35.2008
49.3642,56.5928
33.628,32.8921
61.9155,62.5134
66.6209,60.5138
49.8931,52.4108
48.3774,54.6556
52.9281,48.28
51.4838,51.671
47.7964,53.0136
38.8992,36.8511
13.2236,14.0955
72.8275,66.866
26.7414,31.2051
55.0014,51.3837
38.8216,39.3923
53.5968,53.2158
40,36.2428
13.2227,14.1592
33.5583,32.5606
35.3254,40.5146
35.9539,34.7757
31.8678,31.4089
13.2227,14.2796
40,39.2115
65.4951,52.4384
25.1705,28.8927
55.3574,57.8219
40.056,43.2781
40.2659,36.3745
54.5873,53.7641
72.8331,61.1618
33.3263,34.8474
48.0515,51.6632
25.1705,28.4958
42.4278,38.0932
45.3675,43.6349
56.1507,56.353
86.6795,69.6893
37.2648,36.1234
56.6482,62.2744
13.299,14.021
48.217,52.0723
37.6513,35.5364
47.5644,44.1527
13.269,13.8469
36.576,37.8114
48.1367,43.6426
13.2227,18.6712
39.7052,35.247
68.3086,53.0814
26.6516,29.7158
40,36.9302
53.7378,58.9656
32.0511,34.6156
27.1072,37.7087
40,38.0909
65.0512,53.326
26.8036,29.0866
59.6323,52.8878
40,38.7006
72.7174,62.0154
67.9891,62.0238
40,40.517
40,36.4283
27.1158,28.7012
30.2957,33.3401
37.3486,41.0975
40.5796,42.1302
49.5357,57.6141
53.4524,56.5036
27.1226,29.2757
40,35.062
40,35.6267
50.9371,57.6813
21.2919,22.1458
45.3114,49.7746
26.5022,29.5564
38.022,40.0298
38.1198,43.9987
68.3079,52.7469
40,36.7237
87,69.3816
65.9497,53.3985
41.9699,46.2273
42.6875,43.2025
39.2482,35.1842
55.4767,57.8139
61.6948,53.5317
46.829,47.9381
25.0799,26.8576
33.6214,44.8595
33.0847,34.2301
68.2244,61.8879
13.2546,14.1985
69.4986,62.8864
50.5194,53.7949
41.959,40.9159
77.3238,69.2964
42.6548,44.3383
49.3165,55.5056
37.7022,40.7587
34.4221,35.2861
47.5362,42.3703
26.6993,30.7759
44.356,47.5384
25.1705,29.7404
14.0217,22.3051
77.4346,69.3536
25.0929,28.9082
36.157,35.8387
50.1327,55.2074
25.7255,28.6247
27.6397,32.8108
51.9155,52.2487
39.9001,49.0067
30.3251,30.6296
47.2325,43.0343
50.8531,51.8694
54.5205,52.5972
56.4197,56.3563
41.7434,47.5632
40.036,45.0706
40,38.6395
47.0914,51.9366
40,37.8482
24.753,26.218
68.3185,52.8018
24.5307,28.9152
38.7021,39.8442
13.2227,14.0398
46.4731,45.1917
61.0249,52.4441
61.8763,52.4771
25.0572,28.1444
14.1447,17.6813
39.3275,39.3816
63.1427,62.4277
49.439,51.3571
24.8259,27.1027
56.1309,52.2349
33.4356,37.3158
41.2001,49.5736
26.6483,28.8992
65.6489,58.4339
26.9312,27.9732
68.3333,63.3346
13.2513,20.6719
53.8251,52.5318
14.0863,17.6395
30.512,34.9484
50.5202,49.1978
13.2227,17.1878
80.3943,68.8244
26.6847,30.6921
67.9897,61.3535
49.8223,44.5503
27.0886,28.6874
39.6737,40.4311
36.1959,35.6241
25.0525,28.5621
45.6142,51.5615
24.6478,29.1488
37.7488,42.5382
59.6961,56.2272
72.9397,66.1818
39.573,39.417
81.4146,66.4185
48.4251,43.4466
46.3143,44.1329
46.4603,46.5819
37.2908,38.7853
27.8727,32.6865
40,36.6845
34.8573,35.7409
87,69.5147
54.1776,49.5515
63.683,58.8434
72.9948,66.9578
64.0501,63.857
32.0691,36.7237
47.5819,48.4645
13.7479,21.8056
21.1094,23.3505
68.0595,58.663
40,35.4157
52.1825,51.4813
63.2037,62.1473
45.3015,50.869
44.6469,42.7522
42.4682,40.3643
39.5351,45.2668
51.4107,56.1165
41.7678,41.1751
75.8547,69.2813
17.3048,19.475
51.0638,53.3689
26.7625,36.9868
26.8875,28.3742
40,34.9193
50.3234,50.8032
48.5179,50.1552
36.6409,37.2398
35.0059,35.6404
56.6142,59.9418
51.6306,44.5825
85.2267,65.5268
18.5478,22.4219
14.3041,22.2711
57.9979,57.5587
15.3667,20.3708
65.0772,62.0117
40,47.6648
41.3621,43.0344
68.2649,64.6329
43.2675,47.3216
28.5737,31.8461
48.0799,50.8493
13.2513,17.2282
24.098,25.766
54.0939,52.4055
59.4225,60.9569
33.247,38.3522
26.7361,29.6032
24.3888,26.4384
35.3595,34.9449
13.2227,14.0727
53.0436,45.012
30.2639,33.7893
72.143,62.6216
28.1171,36.2051
47.1708,49.851
56.9244,57.3013
13.2947,14.9027
39.996,41.6365
25.1705,29.6718
24.8792,26.144
73.8512,69.176
52.7307,55.428
64.5282,63.2659
43.8843,42.8017
49.8875,42.9419
25.1575,29.1234
52.5873,54.8013
19.2353,20.6836
39.6229,42.7767
26.8314,31.3066
36.5983,38.9251
14.0295,18.2326
52.2521,51.0605
43.3153,52.9956
40.6263,42.0588
39.6374,46.4405
67.0975,63.537
59.8314,65.9077
68.0235,61.1648
34.2151,37.137
13.72,21.3869
25.1705,29.5829
27.1226,28.4912
55.5929,52.3847
39.8907,40.4085
30.6288,33.4319
51.1245,55.4468
45.1103,49.9758
54.9193,52.4803
60.7325,59.461
41.6564,41.4566
58.71,56.5022
68.1551,60.7481
72.9548,66.4617
51.479,58.5102
25.1338,28.5727
63.202,52.3755
61.0625,63.6369
40,35.4403
43.3973,43.2859
27.1226,31.3246
14.1893,19.082
48.35,42.4432
69.0522,63.2135
27.8737,32.553
61.8117,64.3218
47.6691,49.6497
68.3333,63.6816
13.2227,21.8236
39.9764,35.2519
13.2227,14.1768
38.1218,41.8945
13.258,13.8881
48.1784,45.7139
19.6829,19.8588
39.2696,41.8282
27.1226,29.5885
30.7877,33.5785
28.415,35.5393
24.8068,26.1307
13.2227,18.4224
29.4414,33.414
40,38.8102
37.8742,42.966
24.8627,27.2808
38.7025,39.7763
43.0305,45.4723
60.4584,52.875
40,35.3319
31.1818,33.3114
68.3333,52.4228
13.2227,14.2327
36.2307,38.4338
21.3894,21.197
13.9622,22.7974
45.8974,47.6018
62.7314,52.4912
83.7017,69.6881
40,36.5063
49.3785,49.119
56.7767,52.6708
13.2227,18.1488
13.2227,14.148
48.1691,46.9967
68.3082,61.4563
46.4032,44.4112
49.4561,48.5631
74.6574,68.0513
40.6317,43.4237
69.3756,53.3557
27.1226,37.8778
64.9175,66.4554
22.8406,26.5086
48.2927,41.7581
48.5249,55.7765
24.2751,25.736
56.4992,52.5971
39.3314,37.3611
13.2247,13.9157
84.0149,69.5853
29.58,38.0653
13.2227,13.9052
63.2651,52.4366
44.8405,42.7127
53.9338,52.6058
49.4568,53.947
41.6388,42.3915
14.2478,22.1243
81.0105,69.045
51.0049,50.8851
40,37.4032
40,38.609
40,35.5924
57.9283,52.9191
13.2468,17.6446
40,38.8426
37.1281,39.241
67.3949,63.3494
15.3655,14.6681
56.9019,55.0707
24.7843,31.5701
51.2293,50.535
57.5327,57.2985
43.0278,37.7479
36.1161,36.411
50.0633,42.8278
39.1105,41.9803
39.1863,35.56
14.5691,15.368
40,39.4421
31.9596,35.6329
49.586,48.9243
14.2962,14.969
27.1226,31.7434
25.1705,28.7079
55.5888,58
59.027,52.7156
30.4731,33.6454
56.886,59.4802
41.9236,48.9214
48.4063,44.7266
13.3102,17.2178
40.3083,38.2188
53.1958,59.7876
38.4674,37.5757
65.7455,53.5732
45.4184,50.7435
13.2227,13.6968
84.7289,65.8183
21.7619,22.0191
45.0611,43.6337
65.3523,53.5097
47.2038,42.8198
47.1741,42.3983
27.1226,29.2192
21.3072,23.7432
47.8157,47.4648
40.0352,42.5409
57.2258,57.2715
50.1619,44.5649
42.4885,43.2661
37.3925,38.4464
37.9107,44.5206
34.5472,35.1568
38.409,39.2945
27.4016,27.3666
21.185,27.3846
35.8799,37.4139
43.535,43.7743
37.715,43.528
38.8514,40.5451
56.5474,52.7278
32.8786,32.9955
13.2321,14.0888
13.2227,14.2107
68.1121,52.8137
13.2704,14.5312
49.5856,49.9315
19.7815,21.5333
62.1201,52.7438
18.9803,22.6216
57.1052,52.6512
65.0049,65.215
21.8198,26.3045
46.9352,54.3738
65.6752,61.1601
40,47.7758
34.2834,37.522
35.699,45.6633
51.6594,50.9654
13.2472,18.4128
45.2157,44.2989
56.3643,56.1641
61.9661,58.2589
72.9258,67.0787
48.4251,44.374
18.7874,21.0057
39.6145,35.376
68.5056,63.7227
50.1908,52.0098
68.1165,63.2692
43.1507,46.5492
62.4134,52.3066
79.5638,69.5042
50.6732,43.3707
49.9977,42.6761
45.8556,48.4205
59.658,56.3318
43.8764,47.2337
57.4245,51.3067
59.7518,52.5592
40,38.7757
50.488,50.6226
48.3425,51.4215
39.5153,42.4395
68.3084,62.9912
51.9623,56.1264
37.0444,38.7858
50.7026,43.7963
62.9642,64.5383
13.2286,17.5633
28.7943,33.728
40,37.2615
49.8518,51.8188
27.005,28.5467
44.655,47.7714
39.0148,40.7045
36.0038,36.1549
36.8801,38.0216
26.7851,29.5845
48.1345,51.3388
57.3135,54.292
34.0557,34.953
49.2943,49.2164
57.388,58.4353
47.4328,53.6568
39.0435,40.7283
50.2764,51.9994
37.1402,39.7604
64.6744,63.5005
40,41.6626
40.0188,46.5266
29.8477,32.7984
13.2506,17.2199
13.511,17.3984
37.1203,43.9951
48.5935,46.6509
37.5893,34.6571
13.3245,14.0555
38.9107,41.3514
45.9133,42.4597
49.0512,50.4429
73.0088,66.9375
39.07,46.1001
22.5539,31.7247
42.5785,47.3667
24.4672,27.0229
54.1372,58.8468
58.1634,52.6971
24.7177,29.9669
45.3714,47.9991
59.769,52.2449
58.4062,59.1287
54.1973,52.2411
27.27,31.1923
53.9408,52.1633
55.0769,52.3478
40.9197,43.8906
39.2472,41.5957
47.6573,44.4585
31.0109,35.307
67.9708,62.8931
45.1569,43.89
59.9689,63.7123
24.1939,30.0458
55.6439,62.7364
67.9905,63.082
49.9331,49.7085
57.8455,54.765
36.28,36.9355
41.1883,44.4388
68.3333,52.588
80.0231,69.7152
25.1705,29.3569
26.8862,28.8136
13.2227,14.05
60.6341,56.1189
13.2277,17.4808
49.3079,49.7212
52.4393,52.6877
67.7365,60.6092
36.808,43.3944
86.3795,64.7411
60.9939,61.8998
16.2882,20.6385
48.7441,48.4504
40,36.9029
31.745,35.3356
44.1209,45.1499
72.9719,67.5286
43.8894,55.0456
39.7169,39.3881
24.6843,25.5748
13.2671,13.8715
53.939,53.1144
40.8556,40.3417
20.4058,21.0251
50.8959,55.7762
49.9892,55.5235
40,39.8613
24.7722,26.3636
21.3248,23.7113
13.2257,14.0415
13.2227,13.9982
45.0951,44.1093
60.069,52.1073
